,"Charlotte, NC","Raleigh, NC",United States
2008,150200.0,175540.0,176020.0
2009,148566.66666666666,173100.0,157408.33333333334
2010,149850.0,179091.66666666666,159675.0
2011,150566.66666666666,180258.33333333334,151383.33333333334
2012,155525.0,176858.33333333334,154466.66666666666
2013,164058.33333333334,187541.66666666666,170008.33333333334
2014,170116.66666666666,191416.66666666666,178408.33333333334
2015,179866.66666666666,210966.66666666666,191041.66666666666
2016,187466.66666666666,221350.0,200841.66666666666
2017,191941.66666666666,235375.0,213566.66666666666
2018,195300.0,254000.0,207481.81818181818
