"Population Estimates for NC State and Counties, 2010-2017",,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Estimates Program",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FIPS Code,Geography Name,Total Population,,,,,,,,,,,,
,,"April 1, 2010 Estimates Base","July 1, 2010 Estimate","July 1, 2011 Estimate","July 1, 2012 Estimate","July 1, 2013 Estimate","July 1, 2014 Estimate","July 1, 2015 Estimate","July 1, 2016 Estimate","July 1, 2017 Estimate",,,,
37000,North Carolina,"9,535,721","9,574,247","9,662,940","9,755,299","9,849,812","9,941,160","10,041,769","10,156,689","10,273,419",,,,
37001,Alamance County,"151,198","151,490","152,857","153,471","154,417","155,698","157,389","159,325","162,391",,,,
37003,Alexander County,"37,192","37,241","37,039","36,940","37,091","37,092","37,058","37,270","37,286",,,,
37005,Alleghany County,"11,154","11,141","11,025","10,956","10,920","10,911","10,869","10,945","11,031",,,,
37007,Anson County,"26,928","26,851","26,517","26,322","25,975","25,978","25,594","25,119","24,991",,,,
37009,Ashe County,"27,238","27,231","27,008","26,957","26,889","26,838","26,727","26,754","26,957",,,,
37011,Avery County,"17,806","17,761","17,728","17,575","17,604","17,597","17,440","17,500","17,536",,,,
37013,Beaufort County,"47,763","47,799","47,663","47,436","47,391","47,350","47,389","47,361","47,088",,,,
37015,Bertie County,"21,280","21,250","20,860","20,502","20,350","20,353","20,188","19,449","19,224",,,,
37017,Bladen County,"35,182","35,194","34,920","34,866","34,704","34,462","34,211","33,796","33,478",,,,
37019,Brunswick County,"107,431","108,068","110,237","112,081","114,999","118,384","122,297","126,353","130,897",,,,
37021,Buncombe County,"238,328","238,733","241,224","243,741","246,948","249,302","252,149","255,334","257,607",,,,
37023,Burke County,"90,838","90,577","90,490","89,755","89,141","88,610","88,644","88,802","89,293",,,,
37025,Cabarrus County,"178,086","178,537","181,228","184,232","187,160","191,662","196,315","201,573","206,872",,,,
37027,Caldwell County,"83,047","83,009","82,446","82,096","82,041","81,681","81,537","81,787","81,981",,,,
37029,Camden County,"9,980","10,009","10,023","10,001","10,112","10,276","10,289","10,423","10,581",,,,
37031,Carteret County,"66,463","66,700","67,426","67,776","68,386","68,644","68,729","68,855","68,881",,,,
37033,Caswell County,"23,748","23,768","23,478","23,051","23,096","22,831","22,851","22,742","22,646",,,,
37035,Catawba County,"154,758","154,775","154,561","154,815","155,140","155,342","155,805","156,647","157,974",,,,
37037,Chatham County,"63,479","63,849","64,159","64,590","65,314","66,791","68,418","69,824","71,472",,,,
37039,Cherokee County,"27,441","27,429","27,177","27,032","27,122","27,093","27,132","27,883","28,087",,,,
37041,Chowan County,"14,793","14,737","14,821","14,712","14,689","14,534","14,284","14,240","14,105",,,,
37043,Clay County,"10,591","10,608","10,690","10,662","10,612","10,593","10,668","10,819","11,074",,,,
37045,Cleveland County,"98,030","97,917","97,435","97,314","96,874","97,012","96,868","97,102","97,334",,,,
37047,Columbus County,"58,107","57,972","57,693","57,534","57,088","56,902","56,686","56,335","55,936",,,,
37049,Craven County,"103,503","104,169","104,873","105,331","104,310","104,111","103,015","102,857","102,578",,,,
37051,Cumberland County,"319,433","327,214","330,877","330,224","333,273","332,721","331,752","333,538","332,546",,,,
37053,Currituck County,"23,547","23,674","23,904","24,034","24,268","24,839","25,135","25,664","26,331",,,,
37055,Dare County,"33,920","33,984","34,178","34,426","34,852","34,907","35,441","35,760","36,099",,,,
37057,Davidson County,"162,833","162,858","162,972","163,112","163,398","163,530","163,690","164,504","165,466",,,,
37059,Davie County,"41,221","41,256","41,352","41,300","41,446","41,280","41,677","41,973","42,456",,,,
37061,Duplin County,"58,404","58,649","59,276","59,530","59,442","59,618","59,093","59,559","59,039",,,,
37063,Durham County,"269,984","271,327","276,881","282,996","288,960","295,462","301,174","307,090","311,640",,,,
37065,Edgecombe County,"56,545","56,625","56,059","55,695","55,454","54,894","53,770","53,293","52,747",,,,
37067,Forsyth County,"350,674","351,421","354,835","357,937","361,000","364,956","367,922","371,614","376,320",,,,
37069,Franklin County,"60,558","60,825","60,964","61,417","62,105","62,738","63,659","64,659","66,168",,,,
37071,Gaston County,"206,117","206,127","206,951","207,963","209,285","210,694","213,182","216,903","220,182",,,,
37073,Gates County,"12,186","12,167","12,043","11,891","11,702","11,635","11,533","11,593","11,544",,,,
37075,Graham County,"8,861","8,870","8,815","8,711","8,725","8,626","8,594","8,548","8,541",,,,
37077,Granville County,"57,522","57,660","57,514","57,587","57,814","58,067","58,252","58,824","59,557",,,,
37079,Greene County,"21,359","21,271","21,539","21,224","21,062","21,072","21,002","21,144","21,015",,,,
37081,Guilford County,"488,418","489,548","495,241","500,831","506,771","512,541","517,722","521,996","526,953",,,,
37083,Halifax County,"54,634","54,481","54,122","53,749","53,217","52,874","52,230","51,871","51,310",,,,
37085,Harnett County,"114,697","115,760","119,214","122,258","125,104","126,801","128,205","130,899","132,754",,,,
37087,Haywood County,"59,034","58,940","58,740","58,665","58,985","59,152","59,661","60,388","61,084",,,,
37089,Henderson County,"106,705","106,883","107,413","107,837","108,973","110,366","111,975","113,758","115,708",,,,
37091,Hertford County,"24,671","24,759","24,640","24,523","24,506","24,509","24,287","24,096","23,906",,,,
37093,Hoke County,"46,889","47,496","49,489","50,516","51,191","51,639","52,802","53,108","54,116",,,,
37095,Hyde County,"5,817","5,813","5,800","5,692","5,655","5,604","5,437","5,476","5,363",,,,
37097,Iredell County,"159,462","159,775","161,099","162,745","164,624","166,563","169,564","172,529","175,711",,,,
37099,Jackson County,"40,276","40,370","40,274","40,679","41,055","40,989","41,338","42,268","42,973",,,,
37101,Johnston County,"168,872","169,684","172,534","174,521","177,421","180,961","185,357","191,094","196,708",,,,
37103,Jones County,"10,166","10,141","10,059","10,069","10,004","9,857","9,796","9,625","9,597",,,,
37105,Lee County,"57,858","57,892","58,588","59,318","59,874","59,501","59,476","59,746","60,430",,,,
37107,Lenoir County,"59,518","59,499","59,441","59,164","58,831","58,397","58,126","57,432","56,883",,,,
37109,Lincoln County,"77,966","78,087","78,270","78,714","79,111","79,429","80,504","81,075","82,403",,,,
37111,McDowell County,"44,996","45,098","45,059","45,019","45,069","45,080","45,049","44,989","45,159",,,,
37113,Macon County,"33,917","33,949","33,894","33,821","33,770","33,874","34,113","34,309","34,732",,,,
37115,Madison County,"20,789","20,784","20,853","20,902","21,171","21,219","21,167","21,434","21,746",,,,
37117,Martin County,"24,512","24,498","24,178","23,820","23,609","23,425","23,230","23,081","22,789",,,,
37119,Mecklenburg County,"919,650","923,202","944,943","968,204","991,619","1,011,315","1,034,442","1,057,237","1,076,837",,,,
37121,Mitchell County,"15,576","15,509","15,351","15,327","15,310","15,226","15,101","15,068","15,072",,,,
37123,Montgomery County,"27,784","27,731","27,718","27,542","27,482","27,352","27,519","27,438","27,435",,,,
37125,Moore County,"88,246","88,591","89,273","90,216","91,411","92,847","94,040","95,392","97,264",,,,
37127,Nash County,"95,829","95,782","95,749","95,206","94,445","94,253","93,929","94,008","93,991",,,,
37129,New Hanover County,"202,683","203,282","206,047","209,155","213,042","216,171","219,685","223,234","227,198",,,,
37131,Northampton County,"22,101","22,034","21,923","21,291","20,872","20,673","20,556","20,166","19,862",,,,
37133,Onslow County,"177,799","186,889","185,013","190,719","192,377","191,866","193,088","192,199","193,893",,,,
37135,Orange County,"133,688","133,950","134,962","137,946","139,430","140,399","141,563","142,723","144,946",,,,
37137,Pamlico County,"13,143","13,111","13,253","13,030","12,892","12,884","12,753","12,799","12,689",,,,
37139,Pasquotank County,"40,661","40,630","40,277","40,391","39,555","39,434","39,385","39,615","39,743",,,,
37141,Pender County,"52,198","52,418","53,195","53,744","54,828","55,954","57,512","58,897","60,958",,,,
37143,Perquimans County,"13,453","13,481","13,499","13,587","13,631","13,535","13,464","13,427","13,474",,,,
37145,Person County,"39,472","39,406","39,512","39,176","39,240","39,117","39,191","39,283","39,370",,,,
37147,Pitt County,"168,166","168,843","170,806","173,023","174,434","175,079","176,237","177,627","179,042",,,,
37149,Polk County,"20,520","20,480","20,294","20,255","20,399","20,382","20,412","20,421","20,558",,,,
37151,Randolph County,"141,801","141,971","141,886","142,325","142,376","142,585","142,685","143,209","143,282",,,,
37153,Richmond County,"46,642","46,625","46,653","46,367","46,154","45,792","45,436","45,054","44,798",,,,
37155,Robeson County,"134,233","134,504","135,221","135,684","135,217","135,035","134,562","133,514","132,606",,,,
37157,Rockingham County,"93,631","93,655","93,304","92,723","91,942","91,849","91,733","91,359","90,949",,,,
37159,Rowan County,"138,518","138,354","137,851","137,580","137,782","138,168","138,576","139,529","140,644",,,,
37161,Rutherford County,"67,816","67,734","67,414","67,215","66,830","66,557","66,373","66,305","66,551",,,,
