,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FIPS Code,Geography Name,Total Population,,"Change, 2010-2017",,County Ranking,,,
,,"April 1, 2010 Estimates Base","July 1, 2017 Estimate",Numeric,Growth Rate,2017 Population,Numeric Change,Growth Rate,
37000,North Carolina,"9,535,721","10,273,419","737,698",8%,,,,
37001,Alamance County,"151,198","162,391","11,193",7%,17,18,23,
37003,Alexander County,"37,192","37,286",94,0%,65,52,52,
37005,Alleghany County,"11,154","11,031",-123,-1%,95,58,62,
37007,Anson County,"26,928","24,991","-1,937",-7%,75,93,95,
37009,Ashe County,"27,238","26,957",-281,-1%,73,60,60,
37011,Avery County,"17,806","17,536",-270,-2%,86,59,67,
37013,Beaufort County,"47,763","47,088",-675,-1%,55,71,66,
37015,Bertie County,"21,280","19,224","-2,056",-10%,84,94,99,
37017,Bladen County,"35,182","33,478","-1,704",-5%,70,89,88,
37019,Brunswick County,"107,431","130,897","23,466",22%,24,10,1,
37021,Buncombe County,"238,328","257,607","19,279",8%,7,11,20,
37023,Burke County,"90,838","89,293","-1,545",-2%,32,86,70,
37025,Cabarrus County,"178,086","206,872","28,786",16%,11,6,6,
37027,Caldwell County,"83,047","81,981","-1,066",-1%,34,79,65,
37029,Camden County,"9,980","10,581",601,6%,96,47,29,
37031,Carteret County,"66,463","68,881","2,418",4%,38,33,35,
37033,Caswell County,"23,748","22,646","-1,102",-5%,78,80,86,
37035,Catawba County,"154,758","157,974","3,216",2%,18,28,43,
37037,Chatham County,"63,479","71,472","7,993",13%,37,23,11,
37039,Cherokee County,"27,441","28,087",646,2%,71,45,41,
37041,Chowan County,"14,793","14,105",-688,-5%,89,72,87,
37043,Clay County,"10,591","11,074",483,5%,94,48,32,
37045,Cleveland County,"98,030","97,334",-696,-1%,28,73,58,
37047,Columbus County,"58,107","55,936","-2,171",-4%,50,95,83,
37049,Craven County,"103,503","102,578",-925,-1%,27,77,59,
37051,Cumberland County,"319,433","332,546","13,113",4%,5,16,34,
37053,Currituck County,"23,547","26,331","2,784",12%,74,29,13,
37055,Dare County,"33,920","36,099","2,179",6%,66,34,28,
37057,Davidson County,"162,833","165,466","2,633",2%,16,31,44,
37059,Davie County,"41,221","42,456","1,235",3%,61,40,38,
37061,Duplin County,"58,404","59,039",635,1%,48,46,48,
37063,Durham County,"269,984","311,640","41,656",15%,6,3,8,
37065,Edgecombe County,"56,545","52,747","-3,798",-7%,53,100,93,
37067,Forsyth County,"350,674","376,320","25,646",7%,4,8,24,
37069,Franklin County,"60,558","66,168","5,610",9%,41,25,16,
37071,Gaston County,"206,117","220,182","14,065",7%,10,15,25,
37073,Gates County,"12,186","11,544",-642,-5%,93,70,89,
