RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
102001,United States,0,188300,184700,180700,176800,175100,174200,173200,171500,169300,166400,163900,162200,159700,155400,151600,150800,152900,155700,157300,158200,159800,161400,163800,163600,164600,161600,159600,156e3,156700,157200,158900,157900,158300,157900,158600,157400,155100,152300,149600,149200,149700,15e4,149200,148100,148300,149100,149400,148800,148700,149400,151700,153800,155800,157100,157600,158600,16e4,162700,163800,163400,163900,165400,168200,169800,172200,174100,174600,174900,174700,175100,174600,175200,175600,175900,176300,177100,178500,18e4,181400,181800,182100,182400,184500,186300,189e3,190500,192100,192700,193400,192900,192700,191800,192400,194200,196500,197500,197300,197700,198300,199700,200200,201700,202300,204e3,206700,208200,210200,210300,211300,211200,211500,211600,212e3,212500,214300,216100,219800,222e3,225900,229400,232500,232300,229700,227600,226700,226200,226100,225900,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363400,362600,362800,363700,366e3,362200,356600,353700,353300,350600,340600,329300,325200,322200,323600,323800,329600,333200,337500,338300,336800,336400,337400,338400,336e3,333400,330300,331700,331700,335400,338200,342100,35e4,353200,355100,350700,350200,349400,350200,349800,35e4,352400,352800,354100,355400,354200,353500,352400,353600,355600,355400,355900,356800,354100,354300,351700,354e3,355400,356800,358700,359700,357800,358e3,359e3,360800,360800,36e4,361100,362300,361800,362300,361400,362e3,357900,361100,363500,372100,373600,374300,374400,372100,374200,374700,379e3,380700,381600,381800,383e3,386900,389400,389900,389700,389300,390700,389500,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,475500,463300,447300,436200,420600,406600,390600,379200,368200,357800,342900,332300,325500,321200,320300,326e3,333900,340500,347700,355600,363900,368e3,371900,369900,368e3,363200,366500,363600,365100,36e4,365600,365100,368800,366300,362500,358800,355300,355500,352400,348e3,346600,344700,343700,338600,338700,337800,338200,336100,336400,340300,343400,348300,354700,362100,371300,377500,387800,396800,399900,401500,406100,420500,432800,442200,446300,449200,450600,454e3,457100,458900,455800,456300,457300,460700,463900,464e3,466200,466900,469e3,473700,476100,479700,481700,487400,491600,495700,493700,497300,498e3,503200,503200,503100,504800,512200,519400,521500,520500,522100,527600,529100,528500,529700,531200,531100,530800,529800,532700,526300,529300,529600,538900,540300,543700,544300,549600,561900,580400,591800,598600,602300,610100,611400,614e3,615300,622500,626600,,,
394463,"Chicago, IL",3,257600,254100,238600,225300,223e3,222300,226300,224500,222400,218800,212900,211e3,207100,203e3,194200,187700,188200,191200,194e3,196300,198600,199200,198800,200200,197900,194800,187e3,186e3,183600,183900,180300,181800,185900,187900,186400,181900,177500,172200,164900,162800,165e3,168700,169200,167100,164600,165900,162100,161400,158200,159600,158e3,160800,162300,164800,164300,163100,164700,163900,165e3,162900,162500,162300,165600,171400,182200,187e3,191500,191800,193500,194200,192300,194900,193900,193300,191100,192900,195700,199100,202700,203100,202800,200100,201200,202600,204800,205800,205100,203400,201800,194500,191e3,186500,186800,185200,183800,183800,185100,187300,188300,189200,190300,192700,191900,192600,194800,199400,202700,204300,205900,206100,205300,202500,199900,198400,197800,199200,203400,207400,212900,217900,227300,229200,226300,222600,223200,222500,219800,219100,226200
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199600,200800,201400,202e3,202e3,202300,204300,205100,206200,206700,207800,209500,212400,214700,217100,218e3,219200,220100,220300,219200,220900,225500,231e3,232900,232300,230600,231100,232400,235800,237900,239600,240300,242e3,246100,248900,249e3,246100,244200,246300,245900,248100,246700,
394974,"Philadelphia, PA",5,21e4,209100,207e3,198300,195e3,194900,196600,197300,198300,198100,197200,195700,199200,199300,196100,188900,186200,188800,190700,192700,193700,198300,200900,201100,201600,201500,198500,191800,188900,185900,187200,187700,192400,196200,201e3,201200,198100,192300,185e3,181200,179600,181300,18e4,179100,179400,183800,184900,186600,184800,184700,184800,186500,186700,187500,182200,182700,185300,195200,198e3,195600,191800,191100,190900,191600,193600,197400,196300,195500,194400,196100,195600,193100,194200,192500,192800,191e3,191100,192400,192900,194700,193900,193700,192400,188800,188e3,189800,193800,193900,192800,191700,192700,193300,193e3,190900,192500,196200,196300,194e3,192100,194100,195800,195900,196300,194300,195300,199800,200500,201700,199200,200600,202200,201600,201500,198500,196600,194800,195e3,200700,203e3,202400,201300,200800,202900,200600,200500,201500,202500,203700,
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182100,182e3,184800,186200,187900,186800,187100,188500,188700,190500,190900,192200,192900,192800,192800,189700,189100,188400,191400,192600,194e3,192300,193300,194900,199e3,202300,203200,205400,206500,208900,210800,212e3,213900,215500,215500,215100,213700,214600,215700,219200,224200,224400,220200,214500,215300,219e3,224100,225600,222800,220600,217700,219400,217100,216e3
395209,"Washington, DC",7,358900,348900,332900,318500,312400,309900,301800,293600,286100,280800,282e3,279700,282800,276600,273700,273700,282400,296200,303200,302600,300400,300400,301100,297700,296400,299400,297900,292100,292e3,285e3,293900,290600,304600,304700,304100,302500,289500,281700,273200,274300,285700,295100,305200,297100,289500,282900,284600,282100,293100,298100,310300,313100,320800,321500,319400,316700,318200,316600,319100,316200,325200,328500,338700,341800,346400,347200,344200,340600,339400,339400,341400,338600,341e3,340800,351400,351500,354800,347800,346300,344800,347e3,350400,350500,351100,357300,358600,358400,350200,347300,345e3,346900,349600,350100,346500,346400,350200,351300,352900,349600,350300,349200,351300,353200,356500,355600,357300,358900,359600,360600,36e4,361e3,360100,360400,361e3,362500,362600,363800,366900,370700,374600,381500,384e3,384500,378600,373800,374100,375e3,375800,
394856,"Miami-Fort Lauderdale, FL",8,259400,250100,236e3,228700,223200,222300,214800,207500,195500,187500,176100,168700,159300,151600,141800,137200,137900,141200,144e3,143700,143900,145e3,146300,148700,148600,146400,144500,141300,137700,132e3,127900,129100,130600,13e4,123200,120200,116400,119400,12e4,123500,127400,126400,125100,123300,123800,127100,130300,134200,135500,137e3,137600,139500,139200,140200,142600,145400,148100,152500,157500,162300,160600,160400,162500,167600,170400,172e3,173400,175e3,176900,178200,180400,180200,180400,179800,181300,184200,187600,187600,187900,188400,191500,195e3,195900,198600,199500,202e3,205900,208200,209700,207800,207800,208e3,204800,206200,208200,218300,220400,222700,219300,219900,220700,222300,224900,228100,228200,228900,228600,236200,238700,241600,238100,238600,237500,239800,242700,245100,246300,247100,253400,262200,27e4,269100,265600,262400,260900,260900,260500,264200,
394347,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94500,95100,95700,98100,97200,97300,96900,97200,98300,99700,103300,105400,108e3,108800,113e3,116900,121600,123900,126900,128600,132100,135e3,140600,141500,141900,139500,139e3,139600,140600,140800,140300,141300,144900,148900,152900,154e3,155300,154800,157500,160300,163100,163800,169400,171700,173300,168700,168600,169300,169700,170800,172400,175e3,175500,175300,174600,174300,173300,175100,175900,178100,179100,182e3,183200,185100,187200,191200,193400,195e3,194200,193e3,192e3,193e3,195600,196900,199600,204100,210700,213100,213700,211600,210700,208200,204700,205600,206700,
394404,"Boston, MA",10,333800,329600,322100,320300,319300,318900,317200,315700,311100,305400,295100,295500,287500,290800,284700,292100,295200,302e3,305900,306400,303e3,308100,309400,315e3,308900,308900,304600,309e3,314900,322e3,321900,320700,320400,317100,306e3,296e3,287500,289600,294400,304700,313500,315800,316300,308900,305400,299700,299700,299800,303200,304900,307600,314700,321900,321100,318e3,317700,321400,320800,308700,307400,308400,320900,320700,323400,324e3,327800,328100,328800,328200,329400,333200,344900,350800,351600,348300,349800,353e3,353600,352300,353100,354400,357100,358500,365600,364200,363800,358400,360200,364400,367600,369e3,368600,368700,37e4,369900,37e4,367400,370300,370800,376900,377400,378300,380200,381500,383600,385100,386900,391400,392200,393700,393200,394500,396200,396300,399600,404200,411e3,414100,411800,417300,416500,424300,421500,427100,426300,426200,423400,425600,
395057,"San Francisco, CA",11,595600,554300,519100,497700,489100,467400,442600,409e3,377700,354100,336800,327500,311500,304200,306800,330700,356500,374800,394e3,403400,413600,419400,419700,416400,407600,401e3,407300,414300,429400,436e3,440800,434400,424800,416900,409200,401800,392200,384500,382400,382700,387e3,389600,391700,391200,389700,382600,38e4,375600,377e3,385800,401500,422200,440400,445400,452e3,462e3,476400,496500,494100,494900,490400,515300,542300,562e3,569300,569100,570300,572700,576200,579100,586500,595800,600100,593400,584600,577800,579400,586100,598600,601300,597100,585e3,579e3,585300,603e3,616200,619400,614500,613400,623e3,626200,626600,624600,636900,644700,642e3,628400,624500,630600,645100,654200,651100,643900,641e3,651700,661500,670400,672e3,674700,684600,691200,698300,696700,700900,707900,722300,740700,746400,749500,760300,779100,790300,793200,792100,795100,788800,,,
395025,"Riverside, CA",12,303800,285100,268700,258400,247200,236300,221400,213800,205e3,198400,189700,180100,171400,160500,155400,153700,154e3,155400,155600,159400,164800,17e4,175500,175500,176100,172600,174e3,175400,175200,174e3,171700,173400,172700,174700,176100,176700,174300,169800,167900,167300,167e3,167400,166700,168800,169700,17e4,171e3,170800,172900,173800,175900,177500,178400,180900,183400,189400,196800,205700,210600,211600,213600,216600,222300,228500,231800,235700,236500,242900,245900,251100,255700,258200,259100,256100,259300,260500,262100,261800,259100,262e3,264100,270500,272500,275400,276800,277e3,276400,277800,279600,282900,280500,281400,282e3,287300,293100,294e3,294900,292600,294400,295500,296600,297400,299400,299900,301500,301500,302600,303200,305e3,306900,308900,312600,313700,314700,312400,320300,325100,332200,340500,349600,353900,350600,35e4,351400,351300,350900,349500,351500,350500
394976,"Phoenix, AZ",13,226e3,215e3,205300,199800,194500,188200,18e4,171700,162400,151400,142800,133200,126100,117400,112300,113600,118400,123500,125500,126600,129900,129900,131100,131100,131800,129900,126800,126500,126400,124400,122500,120700,120200,116100,114800,114100,114e3,111600,108100,109400,110300,111700,113600,115e3,121e3,122100,118400,112100,109400,113400,118400,122e3,124500,126800,127500,131400,135500,139600,141500,141200,143300,145500,148100,150300,152300,153100,154100,155600,155500,156200,156600,157800,158100,157600,157500,157e3,157700,158200,16e4,159900,162e3,163300,165200,168e3,170300,172300,173600,175700,176900,176900,178200,179900,182400,184900,186800,188200,188800,190700,192400,194700,195800,198600,199500,202200,205300,206500,208800,209400,212200,212300,213600,213900,216800,220200,223200,225900,228700,229800,233900,234500,234300,229600,227500,232300,243500,252900,,,
395078,"Seattle, WA",14,347800,339100,328e3,319100,312800,314200,312e3,313e3,305400,308e3,309100,316900,312300,304800,293700,290300,286100,285800,287900,292500,292900,297e3,303900,312200,312100,303100,295100,286600,292e3,295400,296600,288300,284600,290200,291300,293500,286500,283e3,271100,258700,249400,246400,247e3,245400,242900,246100,247800,250900,248200,255e3,260500,271200,276200,279100,282400,284300,291300,292900,290100,290400,292100,300100,303600,304600,307200,309500,313600,313800,312600,310200,308600,309800,309700,309400,307400,309700,313200,315300,317200,317700,319600,320500,323900,329100,333200,335500,335e3,336e3,333600,335200,335200,341300,341500,346600,349700,353900,355e3,355800,358400,36e4,361500,364100,365e3,368e3,372800,378300,382800,383100,386500,389700,394800,399400,402500,405300,408100,411500,416700,422800,430700,441e3,451800,460600,456600,448700,438700,435400,432900,432300,434300
394865,"Minneapolis-St Paul, MN",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182e3,188100,192500,195100,196e3,195800,195400,194e3,194900,195200,197300,198300,199700,200100,203400,203200,204500,203800,206300,207800,213e3,218500,223600,222600,219700,217900,217100,218100,217700,219e3,219700,220300,222600,224900,225800,224700,223500,224300,225100,225800,226900,227100,226700,227400,229e3,231900,233e3,233900,234900,235800,237e3,238e3,238700,238500,238200,240800,244500,248900,252700,254400,254600,251700,250700,250600,254700,
395056,"San Diego, CA",16,402500,394900,379900,368500,353e3,341100,330900,320400,308500,299100,29e4,288100,282700,282800,281600,290100,298500,308e3,314500,320500,326200,331e3,326900,328200,328500,336100,335300,332300,331500,330400,336500,336500,338200,336400,327900,323e3,318500,322500,321900,318500,316900,317400,315400,314800,313600,317300,317e3,317200,318300,323600,329e3,331e3,334800,338600,346700,352100,361200,369700,371100,371200,372400,385500,397100,405e3,409500,410100,414e3,413500,416900,419300,418800,418500,420600,426300,429900,429600,433100,435900,438300,439300,438400,437500,442600,448400,452400,449600,449400,453700,456800,459100,456700,458400,464100,470200,473200,471600,472e3,476200,479600,480300,477800,481800,485700,493900,494900,498600,498700,504e3,507300,510800,512900,517800,519700,522e3,525700,529e3,538e3,542500,544e3,544500,544700,554600,555900,559100,558400,561500,565200,562900,558e3
395121,"St. Louis, MO",17,143300,142700,139100,137500,137400,138400,138200,137800,136400,135400,132800,136700,137200,139600,134500,134200,132400,132900,133700,136700,138e3,136800,137300,136800,138400,137400,137200,136100,135100,133600,133300,131600,131800,130800,132200,131800,129700,127100,125400,125200,125800,127500,128100,127900,128400,127200,125100,123300,124100,125600,126800,128300,129900,131600,133300,133e3,131e3,129400,127700,128500,128800,133700,137300,141200,142100,142200,142700,142100,141300,140200,140100,140600,139300,139800,139700,143400,143500,144500,143300,143200,145200,146600,148700,151600,152300,152100,149300,149700,150600,151400,150400,150700,150300,151900,151700,152800,151900,154100,154800,156400,155100,154900,155100,156e3,156600,156600,157300,158300,16e4,159600,159500,158e3,159200,159200,161e3,161500,163600,163700,163700,165500,166800,169500,167300,165900,164600,165700,164700,167200,
395148,"Tampa, FL",18,177100,171400,166200,161700,157700,153400,151700,147500,143700,137800,134100,130200,126100,122900,121300,121300,122e3,120100,120800,120900,124400,123700,124e3,123e3,121200,12e4,117800,118500,113700,111600,109200,111300,110200,108300,103300,97200,92300,90200,91800,94700,97600,99e3,99400,99700,99e3,99600,100300,100500,1e5,99800,103300,106e3,109200,110400,111300,111900,115100,116900,119800,116700,119100,119100,122700,122100,124600,128e3,130100,130300,130600,131100,130500,127600,125e3,124900,127400,130700,133300,135100,136100,137600,138e3,138100,137800,138200,14e4,142300,144600,145500,145600,145100,146900,148700,151100,153400,156600,159400,160100,160800,162500,165900,166400,168200,168100,169700,170600,172900,176200,180100,181800,183500,183600,185900,186e3,185300,185500,186300,190100,192900,200100,205400,207200,203e3,197800,196800,195900,195700,196200,196800,
394358,"Baltimore, MD",19,233e3,232200,225800,219800,215800,218900,221900,221800,216200,208500,211300,215700,222800,223600,217200,211700,204700,210500,211800,216300,214300,219300,218700,219900,215500,209e3,200800,195800,191600,192200,187600,192500,191100,193e3,206900,228400,224e3,206900,175200,172300,156700,158400,170400,187200,205100,209800,220700,223e3,223100,224900,222100,223400,216600,216200,217400,226700,232400,230500,229800,227600,225500,223800,222500,226800,230100,232600,229300,223700,221600,224400,229100,230100,233500,230600,231900,230500,231300,233300,234800,236500,235700,235100,233e3,230500,229200,228900,229600,231600,235300,232700,231200,227400,23e4,232e3,232700,239500,240600,246500,241800,242400,240600,240800,24e4,242800,243800,243300,240800,242300,242e3,242200,241400,241100,239700,238800,241500,243500,247200,247700,249100,248100,251500,253700,253500,251200,248600,247500,246100,246400,
394530,"Denver, CO",20,203e3,198100,195800,193600,195900,197800,196700,194300,189500,183100,174200,172200,173500,180300,184200,190700,195900,202500,203700,206100,204700,206e3,203700,207e3,206400,207600,205100,204500,208300,210800,214300,212600,211e3,211600,206400,204800,199600,199600,198700,200100,200700,202500,202900,204400,205100,206e3,208e3,205300,205200,208900,216500,223800,227700,232e3,235100,236600,236900,235e3,234500,236100,238700,242400,243200,245900,247500,249400,251200,252300,252100,251900,251600,252500,252900,254400,255500,257600,259900,262100,264200,264100,268100,270400,277100,280500,286300,289e3,291400,292300,291200,292900,294700,299100,302100,305600,309400,317800,322500,324400,323400,324400,328700,329900,332500,333900,336200,34e4,342800,349400,350300,353700,351700,355400,355800,358900,361400,366700,368600,375e3,379200,392200,394300,400300,398500,398300,394100,393e3,393400,395500,396300
394982,"Pittsburgh, PA",21,95800,95700,96800,96e3,99800,99800,98100,94800,94200,91200,88200,86500,88900,90600,93900,97800,103400,105300,106800,106900,108400,107600,106300,104400,105600,107700,109500,109200,106800,105600,105600,107900,108400,107600,107700,103500,104600,100600,105400,105400,110600,111200,112100,111500,111600,109800,109800,111300,112100,115100,115400,118400,118400,117900,119400,119100,120100,118600,118800,118500,119100,118200,119600,120500,122200,122e3,122100,121100,120500,119200,118300,119100,119900,121800,121400,122700,122700,124800,125500,127200,126400,127800,128e3,131100,132100,130900,128100,127e3,129100,130200,130800,129400,129800,130100,131400,132e3,130700,131400,131200,132300,132e3,131200,130800,130800,132700,133300,135400,135600,138e3,137900,138700,138400,138e3,138e3,137900,14e4,142300,139400,137300,136400,143200,142900,141400,139500,142300,142600,141300,139600,
